sugar,31625
lettuce,31625
pet items,154960
baby items,5289
waffles,217277
poultry,334664
sandwich bags,175865
butter,151926
soda,269335
carrots,618914
cereals,367872
shampoo,557904
bagels,653800
eggs,172120
aluminum foil,143741
milk,73071
beef,366155
laundry detergent,917199
shaving cream,31625
grapefruit,885474
cheeses,884172
frozen vegetables,1199670
tea,920002
paper towels,189913
cherries,68282
spaghetti sauce,967573
dishwashingÂ ,956666
canned vegetables,204624
hand soap,394348
flour,21779
pasta,289360
apples,109578
toilet paper,1310207
tortillas,305916
soap,450482
ice cream,269335
dinner rolls,46757
juice,255546
sandwich loaves,599172
berries,38872
ketchup,133355
cucumbers,80215
coffee,996380
broccoli,31625
cauliflower,1198106
bananas,1218645
pork,384935
yogurt,335841
